The New Fish|Kjetil Ostli|4.81 nonfiction nature farmed-fish
And Every Morning the Way Home Gets Longer and Longer|Fredrik Backman|4.33 Sweden contemporary short-stories
A Desolation Called Peace|Arkady Martine|4.33 sci-fi LGBT Hugo sequel
The Road Back|Erich Maria Remarque|4.32 classics Germany sequel-AQotWF
Happening|Annie Ernaux|4.32 memoir nonfiction literary abortion
A Day in the Life of Abed Salama|Nathan Thrall|4.32 nonfiction history politics Jerusalem
The Rage of Dragons|Evan Winter|4.31 fantasy
The Bloody Crown of Conan|Robert E. Howard|4.31 fantasy sequel-2
The Big Bundle|Max Allan Collins|4.31 historical noir
Shuggie Bain|Douglas Stuart|4.31 historical literary LGBT Booker
Hunting by Stars|Cherie Dimaline|4.31 YA sci-fi dystopian indigenous sequel
All the Frequent Troubles of Our Days|Rebecca Donner|4.31 nonfiction biography history Nazi-resistance
A Deepness in the Sky|Vernor Vinge|4.31 sci-fi Hugo sequel-AFUtD
Thelonious Monk|Robin DG Kelley|4.30 nonfiction biography music
The Lies of Locke Lamora|Scott Lynch|4.30 fantasy
The Four Winds|Kristin Hannah|4.30 historical Texas-1934-California
Tell Me How Long the Train's Been Gone|James Baldwin|4.30 classics LGBT literary
From Here to Eternity|Caitlin Doughty|4.30 nonfiction death science travel
Letters to a Young Poet|Franz Xaver Kappus|4.29 nonfiction poetry essays classics Austria
I Know Why the Caged Bird Sings|Maya Angelou|4.29 autobiography nonfiction
Howl's Moving Castle|Diana Wynne Jones|4.29 fantasy YA
Girl, Woman, Other|Bernardine Evaristo|4.29 contemporary LGBT literary British feminism Black
The Wall|John Hersey|4.28 historical Warsaw-ghetto
The Rediscovery of America|Ned Blackhawk|4.28 nonfiction history indigenous
Exhalation|Ted Chiang|4.28 sci-fi literary short-stories
The Royal Game|Stefan Zweig|4.27 classics literary short-stories Germany
If Beale Street Could Talk|James Baldwin|4.27 classics literary romance
Dune|Frank Herbert|4.27 sci-fi classics re-read
Trickster's Choice|Tamora Pierce|4.26 fantasy YA
The Street|Ann Petry|4.26 classics 1940s-Harlem Black
The Forest of Vanishing Stars|Kristin Harmel|4.26 historical literary Germany Jewish-refugees
Stories of Your Life and Others|Ted Chiang|4.26 sci-fi short-stories
Artificial Condition|Martha Wells|4.26 sci-fi Murderbot sequel
The Invention of Wings|Sue Monk Kidd|4.25 historical literary
Propaganda|Jacques Ellul|4.25 nonfiction philosophy politics psychology
Monday's Not Coming|Tiffany D. Jackson|4.25 YA mystery contemporary
Finding Junie Kim|Ellen Oh|4.25 contemporary historical YA
These Burning Stars|Bethany Jacobs|4.24 sci-fi LGBT
House of Suns|Alastair Reynolds|4.24 sci-fi
Dearborn|Ghassan Zeineddine|4.24 short-stories literary contemporary
Circe|Madeline Miller|4.24 fantasy Greek mythology literary
The Perks of Being a Wallflower|Stephen Chbosky|4.23 YA classics contemporary mental-health
Reform or Revolution and Other Writings|Rosa Luxemburg|4.22 nonfiction economics philosophy politics [audio hoopla]
Halfway Home|Reuben Jonathan Miller|4.22 nonfiction sociology race incarceration
To Shape a Dragon's Breath|Moniquill Blackgoose|4.21 fantasy LGBT indigenous
Revolutionary Spring|Christopher Clark|4.21 nonfiction 1848 history
Flowers for Algernon|Daniel Keyes|4.21 sci-fi classics literary YA re-read
Deep River|Karl Marlantes|4.21 historical literary Finnish-U.S.
Daisy Jones and the Six|Taylor Jenkins Reid|4.21 historical literary L.A.-60s
The Emigrants|Vilhelm Moberg|4.20 Sweden historical classics
The Children of Gods and Fighting Men|Shauna Lawless|4.20 historical fantasy 981-Dublin
Reconstruction|Eric Foner|4.20 nonfiction history
The Invisible Life of Addie LaRue|V.E. Schwab|4.19 fantasy historical literary
The Eye of the World|Robert Jordan|4.19 fantasy
The Years|Annie Ernaux|4.18 France nonfiction memoir literary
Paladin of Souls|Lois McMaster Bujold|4.18 fantasy Hugo
Mind of My Mind|Octavia E. Butler|4.18 sci-fi fantasy sequel Patternmaster-2
Almond|Won-pyung Sohn|4.18 contemporary literary Korea
Guns of the Dawn|Adrian Tchaikovsky|4.17 steampunk
Anathem|Neal Stephenson|4.17 sci-fi fantasy Locus
The Coming of Conan the Cimmerian|Robert E. Howard|4.16 fantasy
Skinship|Yoon Choi|4.16 literary short-stories
Hell Followed with Us|Andrew Joseph White|4.16 horror LGBT dystopian sci-fi YA
Dirty Work: Essential Jobs and the Hidden Toll of Inequality in America|Eyal Press|4.16 nonfiction politics sociology
Building the Cycling City|Chris Bruntlett|4.16 nonfiction [audio hoopla]
Birds Without Wings|Louis de Bernieres|4.16 Turkey historical
The Wind-up Bird Chronicle|Haruki Murakami|4.15 contemporary literary magical-realism Japan
The Wickwire Watch|Jacquelyn Hagen|4.15 fantasy YA steampunk
The City of Brass|S.A. Chakraborty|4.15 fantasy YA historical
Terrier|Tamora Pierce|4.15 YA fantasy
Roadside Picnic|Boris Strugatsky|4.15 sci-fi classics Russia new-wave
To End All Wars: A Story of Loyalty and Rebellion, 1914-1918|Adam Hochschild|4.14 nonfiction history
Song of Solomon|Toni Morrison|4.14 classics literary magical-realism
A Fire Upon the Deep|Vernor Vinge|4.14 sci-fi Hugo
The Mighty Miss Malone|Christopher Paul Curtis|4.13 historical YA
The Devil All the Time|Donald Ray Pollock|4.13 horror crime 1960s-Ohio-WVa
The Talisman|Peter Straub|4.12 horror fantasy
The Lathe of Heaven|Ursula K. Le Guin|4.12 sci-fi classics dystopian fantasy Locus
The Last Laugh|Mindy McGinnis|4.12 YA horror thriller
The Girl Who Fell Beneath the Sea|Axie Oh|4.12 fantasy YA
Senlin Ascends|Josiah Bancroft|4.12 fantasy
Elder Race|Adrian Tchaikovsky|4.12 sci-fi
Welcome to the Hyunam-dong Bookshop|Hwang Bo-reum|4.11 Korea
The Immortal Life of Henrietta Lacks|Rebecca Skloot|4.11 nonfiction
Storming Heaven|Denise Giardina|4.11 historical WVa miners strike [audio hoopla]
Once There Were Wolves|Charlotte McConaghy|4.11 mystery Scotland
Dark Lord of Derkholm|Diana Wynne Jones|4.11 YA fantasy
Black Cake|Charmaine Wilkerson|4.11 historical California Black
Your House Will Pay|Steph Cha|4.10 mystery historical Korean-Black relations
The Lost Flowers of Alice Hart|Holly Ringland|4.10 contemporary Australia
The Birds of Opulence|Crystal Wilkinson|4.10 historical south mental illness
Jade City|Fonda Lee|4.10 fantasy
A Wolf at the Schoolhouse Door|Jack Schneider, Jennifer C. Berkshire|4.10 nonfiction education
Tigana|Guy Gavriel Kay|4.09 fantasy
Four Treasures of the Sky|Jenny Tinghui Zhang|4.09 historical China U.S.
Wandering Stars|Tommy Orange|4.08 indigenous historical
The Humans|Matt Haig|4.08 sci-fi
Stolen|Ann-Helén Laestadius|4.08 Sweden indigenous
Insane|Alisa Roth|4.08 nonfiction mental health
Dandelion Wine|Ray Bradbury|4.08 sci-fi
A Gathering of Old Men|Ernest J. Gaines|4.08 historical
The Trees|Percival Everett|4.07 historical Black Mississippi
The Stars My Destination|Alfred Bester|4.07 sci-fi
Light From Uncommon Stars|Ryka Aoki|4.07 sci-fi San Gabriel Valley
Fatelessness|Imre Kertesz|4.07 historical Hungary Nobel unread-country
What Strange Paradise|Omar El Akkad|4.06 Canada African immigrants
The Words That Remain|Stênio Gardel|4.06 Brazil LGBT
The Lottery|Shirley Jackson|4.06 horror classics
Pet Sematary|Stephen King|4.06 horror
Equal Rites|Terry Pratchett|4.06 fantasy humor discworld-3
A Woman of Pleasure|Kiyoko Murata|4.06 historical
Zeitoun|Dave Eggers|4.05 nonfiction Katrina
The Yellow Wallpaper and Other Stories|Charlotte Perkins Gilman|4.05 feminist short-stories 1892
The Housekeeper and the Professor|Yoko Ogawa|4.05 Japan
SPQR|Mary Beard|4.05 nonfiction ancient Rome
Kokoro|Natsume Soseki|4.05 Japan
Empire of Silence|Christopher Ruocchio|4.05 sci-fi
Crow|Amy Spurway|4.05 Nova Scotia [audio hoopla]
The Birchbark House|Louise Erdrich|4.04 historical YA indigenous
Nervous Conditions|Tsitsi Dangarembga|4.04 historical Zimbabwe
Field Notes from a Catastrophe|Elizabeth Kolbert|4.04 nonfiction environment
Always Running|Luis J. Rodriguez|4.04 nonfiction memoir L.A.
A Master of Djinn|P. Djèlí Clark|4.04 sci-fi Nebula
Trespasses|Louise Kennedy|4.03 historical Northern Ireland unread-country
David Copperfield|Charles Dickens|4.03
The Ocean at the End of the Lane|Neil Gaiman|4.02 fantasy
The Black God's Drums|P. Djèlí Clark|4.02 steampunk
Little|Edward Carey|4.02 historical Paris 1700s
A Short History of Reconstruction|Eric Foner|4.02 nonfiction
Why Women Have Better Sex Under Socialism|Kristen R. Ghodsee|4.01 nonfiction
The Three Stigmata of Palmer Eldritch|Philip K. Dick|4.01 sci-fi
Shadow of the Fox|Julie Kagawa|4.01 YA fantasy
Salka Valka|Halldor Laxness|4.01 Iceland Nobel historical unread-country
Open Throat|Henry Hoke|4.01 Hollywood mountain lion
Norwegian Wood|Haruki Murakami|4.01 Japan
No Longer Human|Osamu Dazai|4.01 Japan
Cloud Atlas|David Mitchell|4.01 sci-fi
Blindsight|Peter Watts|4.01 sci-fi
These Violent Delights|Micah Nemerever|4.00 1970s Pittsburg LGBT
The Woman in White|Wilkie Collins|4.00 gothic horror 1859
My Cousin Rachel|Daphne du Maurier|4.00 classics
Beasts of a Little Land|Juhea Kim|4.00 Korea
Songs Only You Know|Sean Madigan Hoen|3.99 [audio hoopla]
Sinister Graves|Marcie R. Rendon|3.99 1970s Minnesota indigenous
Odd Thomas|Dean Koontz|3.99 horror
Close Range|Annie Proulx|3.99 Wyoming short-stories
Brave New World|Aldous Huxley|3.99 sci-fi literary
The Round House|Louise Erdrich|3.98 historical indigenous
The Last Place You Look|Kristen Lepionka|3.98 mystery
The Art of Gathering|Priya Parker|3.98 nonfiction
Red at the Bone|Jacqueline Woodson|3.98 historical 2001 Brooklyn Black
Perdido Street Station|China Miéville|3.98 fantasy sci-fi
Midnight's Children|Salman Rushdie|3.98 historical India
For Whom the Bell Tolls|Ernest Hemingway|3.98 re-read
Under the Mesquite|Guadalupe García McCall|3.97 poetry YA
South to America|Imani Perry|3.97 nonfiction South
Sons of Darkness|Gourav Mohanty|3.97 fantasy India
On the Beach|Nevil Shute|3.97 sci-fi post-apocalyptic
Man Made Monsters|Andrea L. Rogers|3.97 historical indigenous horror
Interior Chinatown|Charles Yu|3.97 literary
I Am Not Sidney Poitier|Percival Everett|3.97 humor
Frankenstein|Mary Shelley|3.97 re-read
Blind Owl|Sadeq Hedayat|3.97 Iran horror
Thistlefoot|GennaRose Nethercott|3.96 fantasy eastern-europe mythology
Drive Your Plow Over the Bones of the Dead|Olga Tokarczuk|3.96 Poland Nobel
Black Money|Ross Macdonald|3.96 mystery noir
The Sea, the Sea|Iris Murdoch|3.95 literary English
The Killing Moon|N. K. Jemisin|3.95 fantasy
The Big Sleep|Raymond Chandler|3.95 mystery noir
Jonny Appleseed|Joshua Whitehead|3.95 indigenous LGBT
Dragon Prince|Melanie Rawn|3.95 fantasy
When We Were Sisters|Fatimah Asghar|3.94 literary LGBT Carol Shields Prize
More Than Human|Theodore Sturgeon|3.94 sci-fi 1953
Bad Cree|Jessica Johns|3.94 horror indigenous
1Q84|Haruki Murakami|3.94 Japan fantasy
The Glass Key|Dashiell Hammett|3.93 mystery noir
The Fisherman|John Langan|3.93 horror
Passing|Nella Larsen|3.93 classics historical
Mongrels|Stephen Graham Jones|3.93 horror werewolves indigenous
Black Bottom Saints|Alice Randall|3.93 historical Black Detroit
Bel Canto|Ann Patchett|3.93 literary South America terrorism/hostages
Titus Groan|Mervyn Peake|3.92 fantasy gothic 1946
The Good Lord Bird|James McBride|3.92 historical
Split Tooth|Tanya Tagaq|3.92 poetry indigenous
Severance|Ling Ma|3.92 sci-fi NYC pandemic
Night of the Living Rez|Morgan Talty|3.92 indigenous Maine short-stories
If I Ever Get Out of Here|Eric Gansworth|3.92 YA historical ficiton indigenous
The Alchemist|Paulo Coelho|3.91 classics
Semiosis|Sue Burke|3.91 sci-fi
The Hundred Thousand Kingdoms|N. K. Jemisin|3.90 sci-fi
Still Life|Louise Penny|3.90 Quebec
Neuromancer|William Gibson|3.90 sci-fi cyberpunk
Loaded|Roxanne Dunbar-Ortiz|3.90 nonfiction indigenous
I Have No Mouth & I Must Scream and Other Works|Harlan Ellison|3.90 sci-fi horror
The Woman in the Dunes|Kobo Abe|3.89 Japan
The Tusks of Extinction|Ray Nayler|3.89 sci-fi
The Stone Diaries|Carol Shields|3.89 literary Pulitzer
The Library Book|Susan Orlean|3.89 nonfiction history
The Brief Wondrous Life of Oscar Wao|Junot Díaz|3.89 humor
Embassytown|China Miéville|3.89 sci-fi
A Brief History of Seven Killings|Marlon James|3.89 Jamaica
The House Next Door|Anne Rivers Siddons|3.88 horror Southern gothic
The Helm of Midnight|Marina Lostetter|3.88 fantasy
Lolita|Vladimir Nabokov|3.88 literary
Downward to the Earth|Robert Silverberg|3.88 sci-fi
The Magical Language of Others|E. J. Koh|3.87 nonfiction memoir Korea-California
Cyber Mage|Saad Z. Hossain|3.87 sci-fi cyberpunk [audio hoopla]
All This Could Be Different|Sarah Thankam Mathews|3.87 Milwaukee author:Oman/India
The Man with the Compound Eyes|Wu Ming-Yi|3.86 Taiwan fantasy unread-country
Oona Out of Order|Margarita Montimore|3.86 sci-fi time travel
Midnight Riot|Ben Aaronovitch|3.86 fantasy London
Jonathan Strange & Mr. Norrell|Susanna Clarke|3.86 fantasy historical
I Hotel|Karen Tei Yamashita|3.86 historical San Francisco 1968
Never Let Me Go|Kazuo Ishiguro|3.85 literary sci-fi
Everything I Never Told You|Celeste Ng|3.85 mystery historical
Carmilla|Joseph Sheridan Le Fanu|3.85 Austria gothic horror
Brown Girl in the Ring|Nalo Hopkinson|3.85 fantasy Jamaica Canada
Heart Berries|Terese Marie Mailhot|3.84 nonfiction memoir indigenous
Free Food for Millionaires|Min Jin Lee|3.84 Korean-American
Bluebird, Bluebird|Attica Locke|3.84 mystery Black Texas
Blood Music|Greg Bear|3.84 sci-fi horror
Winter in the Blood|James Welch|3.83 indigenous
The War of the Worlds|H. G. Wells|3.83 sci-fi
Confession of the Lioness|Mia Couto|3.83 Mozambique unread-country
Ceremony|Leslie Marmon Silko|3.83 indigenous ABA
Your Utopia|Bora Chung|3.82 Korea sci-fi short-stories
The White Book|Han Kang|3.82 poetry
The Dog of the South|Charles Portis|3.82 humor South
Maeve Fly|C.J. Leede|3.82 horror
In the Company of Men|Véronique Tadjo|3.82 historical Ebola Africa
Hild|Nicola Griffith|3.82 historical fantasy England
A Farewell to Arms|Ernest Hemingway|3.82 war
The Vaster Wilds|Lauren Groff|3.81 historical America
Nova|Samuel R. Delany|3.81 sci-fi
Heaven|Mieko Kawakami|3.81 Japan
Who Goes There?|John W. Campbbell|3.80 [audio hoopla]
To the Lighthouse|Virginia Woolf|3.80 literary
The Plague of Doves|Louise Erdrich|3.80 historical mystery indigenous
Evergreen|Naomi Hirahara|3.80 historical mystery
The Changeling|Victor LaValle|3.79 horror fantasy
A Head Full of Ghosts|Paul Tremblay|3.79 horror New England
The Grace of Kings|Ken Liu|3.78 fantasy
Saints and Misfits|Ariana Delawari|3.77 YA Muslim
Le misanthrope|Molière|3.77 France
History of Violence|Édouard Louis|3.77 France
Dhalgren|Samuel R. Delany|3.77 sci-fi
Strike the Zither|Joan He|3.76 fantasy YA historical
Annihilation|Jeff VanderMeer|3.76 sci-fi Nebula
A Doll's House|Henrik Ibsen|3.76 play Norway
The Old Drift|Namwali Serpell|3.75 Zambia unread-country historical
Native Speaker|Chang-rae Lee|3.75 ABA Korean-American
All the Lovers in the Night|Mieko Kawakami|3.75 Japan
The Witch Doesn't Burn in This One|Amanda Lovelace|3.73 poetry
Lone Women|Victor LaValle|3.73 horror historical
California Bones|Greg van Eekhout|3.73 fantasy
Babel-17|Samuel R. Delany|3.73 sci-fi re-read
The Gilded Wolves|Roshani Chokshi|3.72 YA Paris historical fantasy
The Annual Migration of Clouds|Premee Mohamed|3.72 sci-fi post-apocalyptic climate
Paper Towns|John Green|3.72 YA mystery
American Rust|Philipp Meyer|3.72 mystery Pennsylvania steel
Karen Memory|Elizabeth Bear|3.71 steampunk
East Goes West: The Making of an Oriental Yankee|Younghill Kang|3.71 Korean-American 1937
Delicate Condition|Danielle Valentine|3.71 horror feminist-Rosemary's-Baby
Tomb of Sand|Geetanjali Shree|3.70 literary India historical
The Yacoubian Building|Alaa Al Aswany|3.70 Egypt
The Barbarian Nurseries|Héctor Tobar|3.70 L.A.
Claire DeWitt and the City of the Dead|Sara Gran|3.69 mystery New Orleans
The Swimmers|Julie Otsuka|3.68 literary
The Shadow King|Maaza Mengiste|3.68 historical Ethiopia 1935
Candide|Voltaire|3.68 France
Body Horror|Anne Elizabeth Moore|3.68 nonfiction feminism
The Luminous Dead|Caitlin Starling|3.67 sci-fi horror
Girl in a Band|Kim Gordon|3.67 nonfiction memoir
Death by Dumpling|Vivien Chien|3.67 mystery
The Appeal|John Grisham|3.63 mystery legal thriller
Walking Practice|Dolki Min|3.62 Korea horror
Oreo|Fran Ross|3.62 humor
Covered with Night|Nicole Eustace|3.62 nonfiction 1722 indigenous
Earthlings|Sayaka Murata|3.61 horror
The Man in the High Castle|Philip K. Dick|3.60 sci-fi dystopian
Terminal Boredom|Izumi Suzuki|3.60 Japan short story
Soul Mountain|Gao Xingjian|3.60 China Nobel
The Plotters|Un-su Kim|3.58 Korea
Gulliver's Travels|Jonathan Swift|3.58 classics
Frankenstein in Baghdad|Ahmed Saadawi|3.58 horror Iraq unread-country
The Summer Prince|Alaya Dawn Johnson|3.57 YA fantasy
Memorial|Bryan Washington|3.57 LGBT Japanese-Am Black Texas
Funeral Songs for Dying Girls|Cherie Dimaline|3.57 YA fantasy indigenous
Tropic of Orange|Karen Tei Yamashita|3.56 magical realism
The Queue|Basma Abdel Aziz|3.56 Egypt after Arab Spring
The Ones We're Meant to Find|Joan He|3.56 YA sci-fi
The Family Trade|Charles Stross|3.54 alternate history
Milkman|Anna Burns|3.54 historical Ireland
The Tiger Flu|Larissa Lai|3.53 sci-fi LGBT
White Horse|Erika T. Wurth|3.52 horror, indigenous
Watched|Marina Budhos|3.52 YA Muslim American
The Premonition|Banana Yoshimoto|3.52 Japan
Darker Than You Think|Jack Williamson|3.50 horror werewolf
Libertie|Kaitlyn Greenidge|3.49 historical Reconstruction Brooklyn
Greek Lessons|Han Kang|3.49 literary
Hit Parade of Tears|Izumi Suzuki|3.48 Japan short-stories
Then We Came to the End|Joshua Ferris|3.46 humor
One-Shot Harry|Gary Phillips|3.46 mystery historical
Give Me Some Truth|Eric Gansworth|3.45 YA indigenous
Under the Pendulum Sun|Jeannette Ng|3.44 fantasy
The Fox Was Ever the Hunter|Herta Muller|3.43 Romania Nobel unread-country
I'm a Fan|Sheena Patel|3.43 literary British
The House of Shattered Wings|Aliette de Bodard|3.40 Paris steampunk
North of Dawn|Nuruddin Farah|3.39 Somalia unread-country
The Long Drop|Denise Mina|3.38 historcal 1958 Glasgow mystery
Transmission|Hari Kunzru|3.37 India computer programmer immigrant
Night of the Mannequins|Stephen Graham Jones|3.34 horror indigenous
Waste Tide|Chen Qiufan|3.33 China
Dare Me|Megan Abbott|3.23 thriller cheerleaders
City of Ash and Red|Hye-Young Pyun|3.15 Korea Kafkaesque
Y/N|Esther Yi|3.00 fiction Korean-American in Berlin
